,app_id,gt_score,percentage_positive
0,105600,9,0.9707879473758665
1,570,8,0.8556179546103534
2,252950,8,0.9427038191306913
3,391540,9,0.9601872183057899
4,252490,6,0.7922426885782157
5,550,9,0.9255198116908592
6,230410,8,0.9071098301851583
7,620,9,0.9877710410029802
8,218620,5,0.6941993638519551
9,211820,7,0.8782965897766218
10,221020,4,0.23103057757644394
11,247730,5,0.44283480979676915
12,360430,2,0.05707584050039093
13,2870,4,0.3317507418397626
14,246090,1,0.2028673835125448
15,346110,5,0.42301523656776263
16,377160,4,0.34112073190655123
17,232810,4,0.27
